Uke,År,Lokalitetsnummer,Lokalitetsnavn,Voksne hunnlus,Lus i bevegelige stadier,Fastsittende lus,Trolig uten fisk,Har telt lakselus,Kommunenummer,Kommune,Fylkesnummer,Fylke,Lat,Lon,Lusegrense uke,Over lusegrense uke,Sjøtemperatur,ProduksjonsområdeId,Produksjonsområde
49,2025,11971,Store Teistholmen Ø,0.42,1.13,0.13,Nei,Ja,1108,SANDNES,11,Rogaland,58.977768,5.867,0.5,Nei,11.14,2,Ryfylke
49,2025,19519,Storebø,,,,Ja,Nei,4625,AUSTEVOLL,46,Vestland,60.091385,5.222617,0.5,,,3,Karmøy til Sotra
49,2025,30217,Storelva,,,,Ja,Nei,5542,SKJERVØY,55,Troms,70.13225,20.789433,0.5,,,11,Kvaløya til Loppa
49,2025,11700,Storeneset,,,,Ja,Nei,4635,GULEN,46,Vestland,60.87635,5.028367,0.5,,,4,Nordhordaland til Stadt
49,2025,13568,Storevik,0.01,0.19,0.03,Nei,Ja,4645,ASKVOLL,46,Vestland,61.47627,5.285,0.5,Nei,9.63,4,Nordhordaland til Stadt
49,2025,35817,Storevika,,,,Ja,Nei,1804,BODØ,18,Nordland,67.18557,14.388433,0.5,,,8,Helgeland til Bodø
49,2025,11492,Storevikholmen,0.24,0.66,0.12,Nei,Ja,4615,FITJAR,46,Vestland,59.83808,5.30565,0.5,Nei,11.23,3,Karmøy til Sotra
49,2025,13593,Storfjell,,,,Ja,Nei,1865,VÅGAN,18,Nordland,68.32518,15.2023,0.5,,,9,Vestfjorden og Vesterålen
49,2025,24535,Storholmen,,,,Ja,Nei,5601,ALTA,56,Finnmark,70.3414,23.39285,0.5,,,12,Vest-Finnmark
49,2025,10311,Storlia,0.38,3.03,1.5,Nei,Ja,4637,HYLLESTAD,46,Vestland,61.203133,5.193833,0.5,Nei,10.36,4,Nordhordaland til Stadt
49,2025,11290,Stormneset,0.08,0.02,0,Nei,Ja,1875,HAMARØY,18,Nordland,68.19825,16.134117,0.5,Nei,7.2,9,Vestfjorden og Vesterålen
49,2025,20776,Storoksen,0.41,6.65,0,Nei,Ja,4627,ASKØY,46,Vestland,60.530884,4.97325,0.5,Nei,10.34,4,Nordhordaland til Stadt
49,2025,31338,Storskjeret,0,0,0,Nei,Ja,1576,AURE,15,Møre og Romsdal,63.27048,8.2298,0.5,Nei,9.26,6,Nordmøre og Sør-Trøndelag
